seed.source,pedigree,geno,year,rep,male,female,stand,midHeight,midWidth,height,width,flw,dlw,frw,drw
ST407-4,(S.C. x Nbh2189B) x 7262B,34,2,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST507-4,(S.C. x Nbh2189B) x 7262B,34,3,2,6,4,2.5,25.66666667,35.16666667,72.66666667,84.5,49.1,6.616666667,55.5,7.5
ST404-6,P6139A x L6038B,5,1,1,1,5,3,36.5,49.66666667,36,51.5,13.65666667,2.35,75.06666667,10.18333333
ST404-6,P6139A x L6038B,5,2,1,1,5,1,38.66666667,37.66666667,38,43.66666667,17.58333333,2.386666667,97.29,9.983333333
ST404-6,P6139A x L6038B,5,3,1,1,5,2.5,20.5,32.33333333,46.66666667,46.66666667,36.15666667,4.603333333,101.2966667,11.48333333
ST404-6,P6139A x L6038B,5,1,2,1,5,2,38.66666667,46,38.16666667,46.33333333,21.35333333,3.353333333,79.45666667,8.653333333
ST404-6,P6139A x L6038B,5,2,2,1,5,1,44.16666667,53.33333333,47.83333333,66,26.04666667,3.613333333,143,16.07666667
ST404-6,P6139A x L6038B,5,3,2,1,5,3,22.5,34.5,46.5,49,24.51666667,2.906666667,73.62,8.433333333
ST408-6,P6139A x L7550B,11,1,1,2,5,2,41.5,50.66666667,44.83333333,55.66666667,23.45333333,3.513333333,93.43333333,11.42
ST408-6,P6139A x L7550B,11,2,1,2,5,2.5,48.5,80.33333333,51.5,63.66666667,29.34666667,4.74,153.3666667,19.62333333
ST408-6,P6139A x L7550B,11,3,1,2,5,2,22.33333333,35,54.83333333,57.66666667,16.02666667,1.883333333,53.28666667,5.74
ST408-6,P6139A x L7550B,11,1,2,2,5,3,41.83333333,48.66666667,44.33333333,50.66666667,20.95666667,3.416666667,80.5,10.56333333
ST408-6,P6139A x L7550B,11,2,2,2,5,2.5,53.5,69,42.16666667,59.33333333,16.13666667,2.143333333,110.98,14.97
ST408-6,P6139A x L7550B,11,3,2,2,5,2.5,25.16666667,34.66666667,48.66666667,51,29.53333333,3.986666667,64.32333333,7.443333333
ST401-6,P6139A x P0159B,17,1,1,3,5,3,44.83333333,52.66666667,61.33333333,61,43.84333333,5.583333333,107.53,14.32
ST401-6,P6139A x P0159B,17,2,1,3,5,1,58.16666667,61,57,74,65.32666667,13.32666667,232.7933333,33.12666667
